idx,ari_kmeans,ari_mclust,gamma,kappa,theta,graph_corr,dropout,gate_bias,residual_weight
11,0.4492896466275902,0.3418364639294476,0.0,1.5,1.0,0.0,0.1,1.0,0.2
15,0.44737154147618236,0.3325514972233918,0.0,1.5,1.0,0.0,0.1,2.0,0.3
3,0.44545211891299397,0.3297014282669888,0.0,1.5,1.0,0.0,0.0,1.0,0.3
1,0.44357738876042463,0.32795398941017617,0.0,1.5,1.0,0.0,0.0,1.0,0.1
9,0.44033329472699995,0.33382228057412894,0.0,1.5,1.0,0.0,0.0,3.0,0.3
12,0.43950325118651307,0.3425565631189882,0.0,1.5,1.0,0.0,0.1,1.0,0.3
4,0.4382677776327421,0.3238594480593656,0.0,1.5,1.0,0.0,0.0,2.0,0.1
18,0.43790055755386487,0.33685374177498045,0.0,1.5,1.0,0.0,0.1,3.0,0.3
17,0.4367499767390848,0.32921164164026656,0.0,1.5,1.0,0.0,0.1,3.0,0.2
5,0.43615000469839366,0.3269653799644778,0.0,1.5,1.0,0.0,0.0,2.0,0.2
10,0.4353432650612685,0.3385433969729663,0.0,1.5,1.0,0.0,0.1,1.0,0.1
19,0.4353180699406582,0.3476749993390596,0.0,1.5,1.0,0.1,0.0,1.0,0.1
20,0.434001823222405,0.33737643326482286,0.0,1.5,1.0,0.1,0.0,1.0,0.2
7,0.4335253162930806,0.3453011290024755,0.0,1.5,1.0,0.0,0.0,3.0,0.1
21,0.43079953418152916,0.329457204740272,0.0,1.5,1.0,0.1,0.0,1.0,0.3
8,0.4297171578518508,0.3205065116105543,0.0,1.5,1.0,0.0,0.0,3.0,0.2
24,0.42935565729481484,0.33734542467549605,0.0,1.5,1.0,0.1,0.0,2.0,0.3
22,0.4288869362400203,0.3362153877275313,0.0,1.5,1.0,0.1,0.0,2.0,0.1
13,0.4226331692996588,0.33613134502865905,0.0,1.5,1.0,0.0,0.1,2.0,0.1
16,0.42226347074030895,0.3213259025749642,0.0,1.5,1.0,0.0,0.1,3.0,0.1
14,0.41228347036691443,0.33167997115988707,0.0,1.5,1.0,0.0,0.1,2.0,0.2
2,0.39851962962327075,0.33712614620447495,0.0,1.5,1.0,0.0,0.0,1.0,0.2
6,0.3935362514571098,0.32402399057683307,0.0,1.5,1.0,0.0,0.0,2.0,0.3
23,0.37649453352961715,0.3354050590622931,0.0,1.5,1.0,0.1,0.0,2.0,0.2
